Id,TotSqFt,TotBaths,BedroomAbvGr,SalePrice
1461,2768.0,1.0,2,138400.75260906148
1462,3399.0,2.0,3,179053.9381210064
1463,3285.0,3.0,3,192584.8161620701
1464,3396.0,3.0,3,198296.34469704298
1465,3292.0,2.0,2,184760.05592321244
1466,3099.0,3.0,3,183014.14672508856
1467,3279.0,3.0,3,192276.0848899094
1468,2722.0,3.0,3,163615.53179099152
1469,3339.0,3.0,2,206575.22310058813
1470,2529.0,2.0,2,145499.72914677736
1471,3524.0,3.0,2,216094.4373255429
1472,2009.0,2.0,2,118743.01889285039
1473,1937.0,2.0,3,103826.41813785031
1474,2924.0,3.0,3,174009.4846204016
1475,2010.0,1.0,2,99397.70189276028
1476,4952.0,3.0,3,278360.6546107166
1477,3991.0,2.0,3,209515.42364086167
1478,4392.0,2.0,3,230148.9636636015
1479,4441.0,2.0,3,232670.26905291388
1480,6870.0,4.0,3,396448.5234902025
1481,5045.0,4.0,3,302542.7615413243
1482,3393.0,2.0,2,189957.03233791748
1483,3137.0,2.0,3,165572.67256998937
1484,2943.0,2.0,2,166802.18692586533
1485,2258.0,4.0,3,159137.0856226813
1486,3205.0,3.0,3,188468.3991999275
1487,5517.0,3.0,4,296221.02391677705
1488,4214.0,2.0,2,232201.76141190596
1489,3248.0,2.0,2,182496.02659403402
1490,3782.0,3.0,2,229369.88202845282
1491,3186.0,3.0,3,187490.75017141862
1492,2458.0,1.0,2,122449.63688075887
1493,3645.0,3.0,3,211108.69249171184
1494,4504.0,4.0,4,263493.66634576325
1495,4556.0,4.0,4,266169.3373711559
1496,3700.0,3.0,2,225150.55464225664
1497,3219.0,3.0,2,200400.59765737425
1498,2452.0,3.0,2,160934.450032832
1499,2452.0,4.0,2,180331.2222449489
1500,2482.0,4.0,2,181874.8786057524
1501,2740.0,4.0,2,195150.32330866228
1502,2156.0,3.0,2,145703.70727290437
1503,4488.0,3.0,1,276909.087208433
1504,3879.0,4.0,3,242545.98431809584
1505,3994.0,3.0,3,229066.56148905895
1506,4269.0,3.0,4,232004.91930735236
1507,4691.0,4.0,4,273115.7909947716
1508,3862.0,4.0,3,241671.24571364053
1509,2879.0,3.0,4,160482.17459012463
1510,3178.0,3.0,3,187079.10847520438
1511,3042.0,2.0,3,160684.427427445
1512,3781.0,3.0,3,218106.60132735426
1513,2960.0,2.0,3,156465.10004124886
1514,3456.0,4.0,6,187144.9531635516
1515,4001.0,2.0,3,210029.9757611295
1516,2958.0,2.0,3,156362.18961719528
1517,2761.0,2.0,2,157437.3383369909
1518,3826.0,2.0,4,189813.48816737082
1519,3905.0,3.0,3,224487.0476186753
1520,2594.0,2.0,3,137632.49243944642
1521,2745.0,1.0,3,126005.45724337372
1522,3452.0,3.0,3,201177.8365705428
1523,2432.0,1.0,3,109899.97587899076
1524,2246.0,2.0,2,130937.9041431979
1525,2454.0,1.0,3,111031.99054357999
1526,2240.0,2.0,2,130629.17287103718
1527,2237.0,2.0,2,130474.80723495685
1528,2734.0,2.0,3,144836.222123196
1529,2834.0,2.0,3,149981.74332587424
1530,4240.0,2.0,2,233539.59692460232
1531,2877.0,2.0,3,152194.3174430259
1532,2058.0,2.0,2,121264.32428216275
1533,3245.0,3.0,3,190526.6076809988
1534,2318.0,1.0,3,104034.08170793757
1535,3126.0,1.0,3,145609.89302557785
1536,2902.0,1.0,3,134083.92553157857
1537,2290.0,1.0,2,113805.16126025941
1538,3312.0,2.0,3,174577.33467467633
1539,3346.0,3.0,3,195723.58409570385
1540,3132.0,2.0,4,154103.5710207837
1541,2832.0,2.0,2,161090.65839089247
1542,2963.0,2.0,3,156619.4656773292
1543,3551.0,2.0,3,186875.13034907734
1544,1906.0,2.0,2,113443.1320540918
1545,2108.0,2.0,2,123837.08488350188
1546,2344.0,3.0,3,144165.4616448677
1547,2711.0,2.0,3,143652.75224658
1548,2777.0,2.0,3,147048.79624034764
1549,2530.0,1.0,2,126154.4121466872
1550,2954.0,2.0,4,144944.5432800164
1551,2608.0,2.0,2,149564.69089689315
1552,3946.0,2.0,4,195988.11361058473
1553,2852.0,2.0,3,150907.93714235633
1554,2278.0,2.0,3,121372.64543898315
1555,3594.0,2.0,3,189087.704466229
1556,2341.0,2.0,3,124614.32379667046
1557,2772.0,2.0,3,146791.52018021373
1558,1795.0,1.0,3,77123.00581793027
1559,2830.0,2.0,4,138564.09698869535
1560,3186.0,3.0,2,198702.5756604904
1561,3722.0,4.0,4,223255.69054081923
1562,2172.0,2.0,3,115918.39296414422
1563,2234.0,2.0,2,130320.4415988765
1564,3283.0,2.0,3,173085.1335258996
1565,2870.0,2.0,4,140622.30546976667
1566,4089.0,3.0,1,256378.4576097468
1567,1936.0,1.0,2,95590.01620277837
1568,4060.0,4.0,4,240647.55220587176
1569,3122.0,3.0,4,172985.7911126328
1570,2308.0,2.0,3,122916.30179978664
1571,2496.0,1.0,3,113193.10944870485
1572,2950.0,2.0,3,155950.54792098101
1573,3588.0,2.0,1,211202.62417221183
1574,3196.0,2.0,3,168608.53007956955
1575,3938.0,3.0,1,248608.72059370266
1576,4307.0,4.0,3,264568.8150655588
1577,3113.0,2.0,2,175549.57297041838
1578,2664.0,2.0,3,141234.35728132122
1579,2486.0,2.0,2,143287.1550296257
1580,3122.0,3.0,3,184197.61660170456
1581,2761.0,3.0,3,165622.28506003605
1582,2236.0,2.0,3,119211.52653385828
1583,5019.0,4.0,3,301204.92602862796
1584,4128.0,3.0,4,224749.73441157604
1585,2256.0,2.0,1,142664.28175253747
1586,880.0,1.0,2,41253.31230249598
1587,1808.0,1.0,3,77791.92357427844
1588,3153.0,2.0,3,166395.95596241788
1589,2504.0,1.0,2,124816.57663399087
1590,2456.0,2.0,3,130531.67317975045
1591,1920.0,1.0,3,83554.9073212781
1592,2699.0,2.0,2,154247.11519133038
1593,2277.0,2.0,2,132533.01571602814
1594,2650.0,3.0,6,126275.28005784794
1595,2716.0,2.0,3,143910.0283067139
1596,4059.0,3.0,4,221199.32478172806
1597,3693.0,3.0,5,191154.8916908539
1598,2548.0,4.0,3,174059.0971104483
1599,2791.0,2.0,1,170192.82018686613
1600,3106.0,2.0,2,175189.38648623088
1601,1220.0,1.0,1,69959.9098806738
1602,2617.0,1.0,2,130631.0155930173
1603,2303.0,1.0,3,103262.25352753581
1604,4101.0,4.0,2,265180.86687711335
1605,3776.0,4.0,3,237246.09747933724
1606,3402.0,3.0,3,198605.07596920367
1607,4782.0,3.0,5,247189.6175880201
1608,3490.0,3.0,3,203133.13462756053
1609,2973.0,2.0,2,168345.8432866688
1610,2328.0,3.0,3,143342.1782524392
1611,2860.0,2.0,2,162531.40432764238
1612,3484.0,2.0,3,183427.63114328292
1613,3702.0,2.0,3,194644.86736512152
1614,2481.0,3.0,2,162426.6511816087
1615,1864.0,2.0,3,100070.18765989518
1616,1638.0,2.0,3,88441.30974184231
1617,1988.0,2.0,3,106450.63395121622
1618,2090.0,1.0,3,92302.29336583112
1619,2592.0,2.0,2,148741.40750446465
1620,4464.0,6.0,4,300229.00228892575
1621,2496.0,2.0,3,132589.88166082176
1622,3185.0,2.0,5,145618.87176913142
1623,4379.0,5.0,3,287670.36254360405
1624,4039.0,4.0,3,250778.8182423811
1625,2266.0,1.0,2,112570.2361716166
1626,3497.0,3.0,4,192281.49562267627
1627,3305.0,3.0,3,193613.92040260576
1628,4089.0,3.0,4,222742.98114253153
1629,2522.0,3.0,3,153324.489385635
1630,5533.0,3.0,1,330679.7837764208
1631,3602.0,3.0,2,220107.94386363195
1632,3951.0,3.0,2,238065.8128609791
1633,2418.0,3.0,3,147973.1473348496
1634,3112.0,4.0,3,203079.8366935536
1635,2678.0,4.0,3,180748.27467393002
1636,2822.0,2.0,3,149364.28078155286
1637,3999.0,4.0,3,248720.60976130975
1638,3795.0,3.0,4,207615.14880665747
1639,3889.0,2.0,3,204266.99201412985
1640,4419.0,3.0,4,239723.2011113698
1641,3326.0,2.0,3,175297.70764305128
1642,3426.0,4.0,3,219236.77326996333
1643,3654.0,3.0,3,211571.78939995286
1644,3621.0,3.0,3,209873.76740306904
1645,4210.0,3.0,3,240180.88728684396
1646,2760.0,3.0,3,165570.82984800925
1647,2915.0,2.0,3,154149.61550004364
1648,2882.0,2.0,2,163663.4189922316
1649,2429.0,3.0,3,148539.15466714423
1650,2514.0,2.0,3,133516.07547730382
1651,2504.0,1.0,3,113604.75114491912
1652,1734.0,3.0,2,123989.60779760209
1653,1758.0,3.0,2,125224.5328862449
1654,2900.0,3.0,3,172774.55953175883
1655,2579.0,3.0,2,167469.2619602334
1656,2779.0,3.0,3,166548.47887651811
1657,2900.0,4.0,3,192171.33174387575
1658,2898.0,3.0,3,172671.64910770525
1659,2187.0,2.0,2,127902.0466336177
1660,2802.0,2.0,3,148335.1765410172
1661,5501.0,5.0,4,334191.28494858235
1662,5116.0,4.0,3,306196.0815952259
1663,5226.0,3.0,3,292459.38270605507
1664,6476.0,5.0,2,406783.7676528389
1665,4715.0,2.0,3,246768.99714825227
1666,4677.0,3.0,3,264210.47130335146
1667,5133.0,4.0,5,284647.1692215377
1668,4622.0,3.0,3,261380.4346418784
1669,3971.0,3.0,2,239094.9171015147
1670,4658.0,3.0,3,263232.82227484253
1671,4458.0,3.0,3,252941.77986948605
1672,5906.0,4.0,3,346845.6990963841
1673,4366.0,4.0,4,256392.84708606722
1674,4365.0,2.0,3,228759.67293887836
1675,3428.0,2.0,2,191757.96475885488
1676,3469.0,3.0,1,224476.22615314164
1677,3410.0,3.0,2,210228.54315448971
1678,6394.0,4.0,2,383167.6680545258
1679,5348.0,4.0,3,318133.69078543945
1680,4738.0,3.0,2,278561.06472605694
1681,3680.0,2.0,2,204724.67818960408
1682,4526.0,3.0,3,256440.73428730725
1683,3472.0,2.0,2,194021.9940880333
1684,2674.0,3.0,3,161145.68161370596
1685,2683.0,3.0,3,161608.778521947
1686,2953.0,2.0,2,167316.73904613315
1687,2258.0,3.0,3,139740.3134105644
1688,3102.0,3.0,3,183168.5123611689
1689,3222.0,3.0,3,189343.1378043828
1690,2746.0,4.0,3,184247.22909175121
1691,2589.0,4.0,3,176168.76080354635
1692,3566.0,4.0,4,215228.67746464114
1693,2158.0,3.0,3,134594.79220788614
1694,2774.0,4.0,3,185687.97502850113
1695,2214.0,3.0,3,137476.28408138597
1696,4445.0,4.0,4,260457.80883618302
1697,2224.0,3.0,3,137990.8362016538
1698,5234.0,4.0,4,301055.9711253145
