Id,TotSqFt,TotBaths,BedroomAbvGr,SalePrice
1461,2768.0,1.0,2,130480.1698619491
1462,3399.0,2.0,3,168203.94139444345
1463,3285.0,3.0,3,187144.56975394915
1464,3396.0,3.0,3,188297.4843105172
1465,3292.0,2.0,2,168670.14825930336
1466,3099.0,3.0,3,171018.61826679652
1467,3279.0,3.0,3,187144.56975394915
1468,2722.0,3.0,3,163572.5811644434
1469,3339.0,3.0,2,196164.5313086699
1470,2529.0,2.0,2,134681.40671518093
1471,3524.0,3.0,2,209185.98877003952
1472,2009.0,2.0,2,114607.5188847204
1473,1937.0,2.0,3,113715.11511393766
1474,2924.0,3.0,3,162685.08392257584
1475,2010.0,1.0,2,100284.58274134374
1476,4952.0,3.0,3,304533.3216905051
1477,3991.0,2.0,3,217614.36750927765
1478,4392.0,2.0,3,235759.1165255408
1479,4441.0,2.0,3,236483.99754324224
1480,6870.0,4.0,3,460764.60383623384
1481,5045.0,4.0,3,315069.1228119537
1482,3393.0,2.0,2,169825.5350984764
1483,3137.0,2.0,3,157864.67778875283
1484,2943.0,2.0,2,144308.44595613275
1485,2258.0,4.0,3,155155.92904551057
1486,3205.0,3.0,3,184896.06468613446
1487,5517.0,3.0,4,340618.33558340603
1488,4214.0,2.0,2,230755.52987036004
1489,3248.0,2.0,2,168670.14825930336
1490,3782.0,3.0,2,238164.41172849864
1491,3186.0,3.0,3,179365.44072939936
1492,2458.0,1.0,2,114872.40596060372
1493,3645.0,3.0,3,204644.69918693005
1494,4504.0,4.0,4,271109.2798405588
1495,4556.0,4.0,4,281980.55714496
1496,3700.0,3.0,2,220371.37119778426
1497,3219.0,3.0,2,191954.93721570203
1498,2452.0,3.0,2,148587.9707427683
1499,2452.0,4.0,2,160829.10494716992
1500,2482.0,4.0,2,164133.262449389
1501,2740.0,4.0,2,178896.7028061016
1502,2156.0,3.0,2,140885.3605147479
1503,4488.0,3.0,1,306773.93025792297
1504,3879.0,4.0,3,234997.8224403113
1505,3994.0,3.0,3,240476.86701235364
1506,4269.0,3.0,4,202570.54440418366
1507,4691.0,4.0,4,311564.6646445086
1508,3862.0,4.0,3,234997.8224403113
1509,2879.0,3.0,4,158256.52929802096
1510,3178.0,3.0,3,179365.44072939936
1511,3042.0,2.0,3,153719.56442439833
1512,3781.0,3.0,3,219439.5059235739
1513,2960.0,2.0,3,146865.88480206122
1514,3456.0,4.0,6,157743.16099117027
1515,4001.0,2.0,3,217614.36750927765
1516,2958.0,2.0,3,146865.88480206122
1517,2761.0,2.0,2,145195.9431980003
1518,3826.0,2.0,4,183512.70993449187
1519,3905.0,3.0,3,217435.74360140745
1520,2594.0,2.0,3,139381.39652844262
1521,2745.0,1.0,3,133624.50670042977
1522,3452.0,3.0,3,199974.34127186856
1523,2432.0,1.0,3,118016.74279908446
1524,2246.0,2.0,2,128070.02609857882
1525,2454.0,1.0,3,118016.74279908446
1526,2240.0,2.0,2,128070.02609857882
1527,2237.0,2.0,2,128070.02609857882
1528,2734.0,2.0,3,145304.20180106864
1529,2834.0,2.0,3,145304.20180106864
1530,4240.0,2.0,2,230755.52987036004
1531,2877.0,2.0,3,144416.70455920108
1532,2058.0,2.0,2,116416.60868737966
1533,3245.0,3.0,3,187144.56975394915
1534,2318.0,1.0,3,116432.6739357217
1535,3126.0,1.0,3,146658.26896702786
1536,2902.0,1.0,3,126411.323628533
1537,2290.0,1.0,2,113288.33709724095
1538,3312.0,2.0,3,165945.8124126273
1539,3346.0,3.0,3,188297.4843105172
1540,3132.0,2.0,4,150091.33171015285
1541,2832.0,2.0,2,145195.9431980003
1542,2963.0,2.0,3,146865.88480206122
1543,3551.0,2.0,3,184259.8074899419
1544,1906.0,2.0,2,113606.85651086934
1545,2108.0,2.0,2,116416.60868737966
1546,2344.0,3.0,3,141226.21765732276
1547,2711.0,2.0,3,145304.20180106864
1548,2777.0,2.0,3,145304.20180106864
1549,2530.0,1.0,2,119226.42083346364
1550,2954.0,2.0,4,138479.63019842454
1551,2608.0,2.0,2,136436.90706636873
1552,3946.0,2.0,4,170052.6087329523
1553,2852.0,2.0,3,145304.20180106864
1554,2278.0,2.0,3,128178.28470164714
1555,3594.0,2.0,3,176816.54179532838
1556,2341.0,2.0,3,127719.53184368597
1557,2772.0,2.0,3,145304.20180106864
1558,1795.0,1.0,3,99743.90683598054
1559,2830.0,2.0,4,139367.1274402921
1560,3186.0,3.0,2,182448.4281666559
1561,3722.0,4.0,4,206589.86901848976
1562,2172.0,2.0,3,128178.28470164714
1563,2234.0,2.0,2,128070.02609857882
1564,3283.0,2.0,3,167051.0268378754
1565,2870.0,2.0,4,138479.63019842454
1566,4089.0,3.0,1,279203.2770470512
1567,1936.0,1.0,2,99283.92036749268
1568,4060.0,4.0,4,243508.26928014518
1569,3122.0,3.0,4,174936.88610484448
1570,2308.0,2.0,3,127719.53184368597
1571,2496.0,1.0,3,122370.75767194438
1572,2950.0,2.0,3,144416.70455920108
1573,3588.0,2.0,1,187274.900748107
1574,3196.0,2.0,3,157864.67778875283
1575,3938.0,3.0,1,250640.7336331841
1576,4307.0,4.0,3,269811.7881520182
1577,3113.0,2.0,2,153611.30582133
1578,2664.0,2.0,3,140344.2184867209
1579,2486.0,2.0,2,133631.54934454008
1580,3122.0,3.0,3,179365.44072939936
1581,2761.0,3.0,3,163572.5811644434
1582,2236.0,2.0,3,128178.28470164714
1583,5019.0,4.0,3,315069.1228119537
1584,4128.0,3.0,4,222567.92877457052
1585,2256.0,2.0,1,132499.34833102417
1586,880.0,1.0,2,69586.85826224925
1587,1808.0,1.0,3,99743.90683598054
1588,3153.0,2.0,3,157864.67778875283
1589,2504.0,1.0,2,119226.42083346364
1590,2456.0,2.0,3,130435.65044538943
1591,1920.0,1.0,3,102428.25720597342
1592,2699.0,2.0,2,140235.95988365257
1593,2277.0,2.0,2,128070.02609857882
1594,2650.0,3.0,6,133786.61478142554
1595,2716.0,2.0,3,145304.20180106864
1596,4059.0,3.0,4,227220.29548443688
1597,3693.0,3.0,5,175153.7552369814
1598,2548.0,4.0,3,162280.09933795745
1599,2791.0,2.0,1,151396.50615776813
1600,3106.0,2.0,2,153611.30582133
1601,1220.0,1.0,1,78797.98610383781
1602,2617.0,1.0,2,124780.97400193526
1603,2303.0,1.0,3,116432.6739357217
1604,4101.0,4.0,2,283975.1052796247
1605,3776.0,4.0,3,234997.8224403113
1606,3402.0,3.0,3,188297.4843105172
1607,4782.0,3.0,5,195193.07811775192
1608,3490.0,3.0,3,199974.34127186856
1609,2973.0,2.0,2,151370.2959935512
1610,2328.0,3.0,3,141226.21765732276
1611,2860.0,2.0,2,144308.44595613275
1612,3484.0,2.0,3,175837.2113866667
1613,3702.0,2.0,3,178719.1566134946
1614,2481.0,3.0,2,151892.12824498737
1615,1864.0,2.0,3,105538.66268683742
1616,1638.0,2.0,3,103449.95506341306
1617,1988.0,2.0,3,114715.77748778871
1618,2090.0,1.0,3,105238.00938248372
1619,2592.0,2.0,2,133286.72823898646
1620,4464.0,6.0,4,262701.4192990211
