Id,TotSqFt,TotBaths,BedroomAbvGr,SalePrice
1461,2768.0,1.0,2,154942.74059032806
1462,3399.0,2.0,3,190319.8223242276
1463,3285.0,3.0,3,184000.95107042955
1464,3396.0,3.0,3,190206.1666925979
1465,3292.0,2.0,2,184289.88345313718
1466,3099.0,3.0,3,173603.0221900394
1467,3279.0,3.0,3,183665.53400977183
1468,2722.0,3.0,3,152527.65021204425
1469,3339.0,3.0,2,186971.36999365542
1470,2529.0,2.0,2,141636.0139061603
1471,3524.0,3.0,2,197313.39603060263
1472,2009.0,2.0,2,112566.5353158222
1473,1937.0,2.0,3,108589.86521062309
1474,2924.0,3.0,3,163820.02458752174
1475,2010.0,1.0,2,112568.38526056596
1476,4952.0,3.0,3,277190.9910898404
1477,3991.0,2.0,3,223414.30564245867
1478,4392.0,2.0,3,245831.34586308477
1479,4441.0,2.0,3,248570.5851917897
1480,6870.0,4.0,3,384466.6977121329
1481,5045.0,4.0,3,282444.00842873467
1482,3393.0,2.0,2,189936.07064087596
1483,3137.0,2.0,3,175673.2773421726
1484,2943.0,2.0,2,164779.7910915449
1485,2258.0,4.0,3,126642.78375321094
1486,3205.0,3.0,3,179528.72359499295
1487,5517.0,3.0,4,308824.4322578055
1488,4214.0,2.0,2,235832.3051075444
1489,3248.0,2.0,2,181830.15834164707
1490,3782.0,3.0,2,211736.32963888574
1491,3186.0,3.0,3,178466.5695695767
1492,2458.0,1.0,2,137612.85912301112
1493,3645.0,3.0,3,204125.9747098944
1494,4504.0,4.0,4,252248.9047487883
1495,4556.0,4.0,4,255155.85260782213
1496,3700.0,3.0,2,207152.2964765632
1497,3219.0,3.0,2,180263.02878050046
1498,2452.0,3.0,2,137385.54785975174
1499,2452.0,4.0,2,137439.60075845092
1500,2482.0,4.0,2,139116.6860617397
1501,2740.0,4.0,2,153539.6196700228
1502,2156.0,3.0,2,120838.30620063619
1503,4488.0,3.0,1,251155.4024869202
1504,3879.0,4.0,3,217261.2929742457
1505,3994.0,3.0,3,223636.0670714867
1506,4269.0,3.0,4,239057.68364099402
1507,4691.0,4.0,4,262702.73647262144
1508,3862.0,4.0,3,216310.94463571545
1509,2879.0,3.0,4,161352.7312552825
1510,3178.0,3.0,3,178019.34682203308
1511,3042.0,2.0,3,170362.5072150916
1512,3781.0,3.0,3,211728.76141813668
1513,2960.0,2.0,3,165778.47405276904
1514,3456.0,4.0,6,193759.39406595615
1515,4001.0,2.0,3,223973.33407688825
1516,2958.0,2.0,3,165666.66836588312
1517,2761.0,2.0,2,154605.47358492657
1518,3826.0,2.0,4,214238.67109706448
1519,3905.0,3.0,3,218660.71400506346
1520,2594.0,2.0,3,145318.03335264645
1521,2745.0,1.0,3,153705.3098138339
1522,3452.0,3.0,3,193336.7259254035
1523,2432.0,1.0,3,136207.7198161881
1524,2246.0,2.0,2,125815.50921180322
1525,2454.0,1.0,3,137437.58237193315
1526,2240.0,2.0,2,125480.09215114547
1527,2237.0,2.0,2,125312.3836208166
1528,2734.0,2.0,3,153144.43143466057
1529,2834.0,2.0,3,158734.71577895636
1530,4240.0,2.0,2,237285.77903706132
1531,2877.0,2.0,3,161138.53804700356
1532,2058.0,2.0,2,115305.77464452713
1533,3245.0,3.0,3,181764.8373327112
1534,2318.0,1.0,3,129834.79566369088
1535,3126.0,1.0,3,175004.29316560086
1536,2902.0,1.0,3,162482.0562343783
1537,2290.0,1.0,2,128221.1814245942
1538,3312.0,2.0,3,185456.27494469023
1539,3346.0,3.0,3,187411.02452044998
1540,3132.0,2.0,4,175442.0977476517
1541,2832.0,2.0,2,158574.57546937658
1542,2963.0,2.0,3,165946.1825830979
1543,3551.0,2.0,3,198817.05452755716
1544,1906.0,2.0,2,106808.54244119753
1545,2108.0,2.0,2,118100.91681667505
1546,2344.0,3.0,3,131396.37539060618
1547,2711.0,2.0,3,151858.66603547253
1548,2777.0,2.0,3,155548.25370270776
1549,2530.0,1.0,2,141637.8638509041
1550,2954.0,2.0,4,165491.39161480518
1551,2608.0,2.0,2,146052.338538154
1552,3946.0,2.0,4,220947.0123102194
1553,2852.0,2.0,3,159740.9669609296
1554,2278.0,2.0,3,127652.73482467176
1555,3594.0,2.0,3,201220.87679560436
1556,2341.0,2.0,3,131174.6139615781
1557,2772.0,2.0,3,155268.73948549293
1558,1795.0,1.0,3,100597.60854302389
1559,2830.0,2.0,4,158559.43902787837
1560,3186.0,3.0,2,178418.23494688288
1561,3722.0,4.0,4,208532.88117639523
1562,2172.0,2.0,3,121727.03341971821
1563,2234.0,2.0,2,125144.67509048773
1564,3283.0,2.0,3,183835.09248484447
1565,2870.0,2.0,4,160795.55276559672
1566,4089.0,3.0,1,228850.16795317997
1567,1936.0,1.0,2,108431.5748457871
1568,4060.0,4.0,4,227428.04226011503
1569,3122.0,3.0,4,174937.1222119213
1570,2308.0,2.0,3,129329.82012796048
1571,2496.0,1.0,3,139785.5017965374
1572,2950.0,2.0,3,165219.44561833946
1573,3588.0,2.0,1,200788.79048955886
1574,3196.0,2.0,3,178971.54510530713
1575,3938.0,3.0,1,220408.83859329333
1576,4307.0,4.0,3,241187.70996783173
1577,3113.0,2.0,2,174283.27447684773
1578,2664.0,2.0,3,149231.23239365348
1579,2486.0,2.0,2,139232.19163811312
1580,3122.0,3.0,3,174888.78758922743
1581,2761.0,3.0,3,154707.8611063196
1582,2236.0,2.0,3,125304.81540006751
1583,5019.0,4.0,3,280990.53449921776
1584,4128.0,3.0,4,231175.38271553695
1585,2256.0,2.0,1,126326.20302353892
1586,880.0,1.0,2,49398.17217002352
1587,1808.0,1.0,3,101324.34550778235
1588,3153.0,2.0,3,176567.72283725993
1589,2504.0,1.0,2,140184.3899213872
1590,2456.0,2.0,3,137603.44095751824
1591,1920.0,1.0,3,107585.46397339363
1592,2699.0,2.0,2,151139.49729146314
1593,2277.0,2.0,2,127548.49735853492
1594,2650.0,3.0,6,148647.6493522329
1595,2716.0,2.0,3,152138.1802526873
1596,4059.0,3.0,4,227318.08651797284
1597,3693.0,3.0,5,206905.9804405441
1598,2548.0,4.0,3,142854.60835166875
1599,2791.0,2.0,1,156234.22426552142
1600,3106.0,2.0,2,173891.95457274705
1601,1220.0,1.0,1,68356.80431793534
1602,2617.0,1.0,2,146501.41123044142
1603,2303.0,1.0,3,128996.25301204651
1604,4101.0,4.0,2,229623.38959588856
1605,3776.0,4.0,3,211503.30009962106
1606,3402.0,3.0,3,190541.58375325563
1607,4782.0,3.0,5,267784.1769499253
1608,3490.0,3.0,3,195461.03397623595
1609,2973.0,2.0,2,166456.87639483364
1610,2328.0,3.0,3,130501.92989551881
1611,2860.0,2.0,2,160139.8550857794
1612,3484.0,2.0,3,195071.564016879
1613,3702.0,2.0,3,207258.3838874438
1614,2481.0,3.0,2,139006.73031959753
1615,1864.0,2.0,3,104508.95763928718
1616,1638.0,2.0,3,91874.91502117869
1617,1988.0,2.0,3,111440.91022621395
1618,2090.0,1.0,3,117088.94735869647
1619,2592.0,2.0,2,145157.89304306667
