Id,TotSqFt,TotBaths,BedroomAbvGr,SalePrice
1461,2768.0,1.0,2,164950.7568722278
1462,3399.0,2.0,3,165039.97244899307
1463,3285.0,3.0,3,165023.49658755274
1464,3396.0,3.0,3,165039.54013486076
1465,3292.0,2.0,2,165024.50949576063
1466,3099.0,3.0,3,164996.67612999654
1467,3279.0,3.0,3,165022.62825166434
1468,2722.0,3.0,3,164944.7002718222
1469,3339.0,3.0,2,165031.30923937063
1470,2529.0,2.0,2,164920.50216536317
1471,3524.0,3.0,2,165057.87883304578
1472,2009.0,2.0,2,164868.11799805806
1473,1937.0,2.0,3,164862.62016880172
1474,2924.0,3.0,3,164971.96507105845
1475,2010.0,1.0,2,164868.1975175184
1476,4952.0,3.0,3,165204.28668970402
1477,3991.0,2.0,3,165120.47996447008
1478,4392.0,2.0,3,165164.48185096474
1479,4441.0,2.0,3,165169.0371200619
1480,6870.0,4.0,3,165164.163312883
1481,5045.0,4.0,3,165208.20942913802
1482,3393.0,2.0,2,165039.10745196012
1483,3137.0,2.0,3,165002.12686461487
1484,2943.0,2.0,2,164974.6082043568
1485,2258.0,4.0,3,164890.57504078606
1486,3205.0,3.0,3,165011.92655562144
1487,5517.0,3.0,4,165216.6042956152
1488,4214.0,2.0,2,165146.35523741454
1489,3248.0,2.0,2,165018.142456745
1490,3782.0,3.0,2,165093.58676416113
1491,3186.0,3.0,3,165009.1838076491
1492,2458.0,1.0,2,164912.16369155166
1493,3645.0,3.0,3,165074.89390036653
1494,4504.0,4.0,4,165174.6049499538
1495,4556.0,4.0,4,165178.95011269566
1496,3700.0,3.0,2,165082.48237679494
1497,3219.0,3.0,2,165013.94923352575
1498,2452.0,3.0,2,164911.47455914633
1499,2452.0,4.0,2,164911.47471462938
1500,2482.0,4.0,2,164914.94569869788
1501,2740.0,4.0,2,164947.0585592639
1502,2156.0,3.0,2,164880.7487665724
1503,4488.0,3.0,1,165173.2220048742
1504,3879.0,4.0,3,165106.3447959234
1505,3994.0,3.0,3,165120.8490582803
1506,4269.0,3.0,4,165152.21213725812
1507,4691.0,4.0,4,165189.14578663316
1508,3862.0,4.0,3,165104.1413106388
1509,2879.0,3.0,4,164965.7524022319
1510,3178.0,3.0,3,165008.02990749292
1511,3042.0,2.0,3,164988.54709364884
1512,3781.0,3.0,3,165093.453027954
1513,2960.0,2.0,3,164976.98268684305
1514,3456.0,4.0,6,165048.16864576138
1515,4001.0,2.0,3,165121.70782387254
1516,2958.0,2.0,3,164976.7028906079
1517,2761.0,2.0,2,164949.82890582032
1518,3826.0,2.0,4,165099.42831911595
1519,3905.0,3.0,3,165109.68635065306
1520,2594.0,2.0,3,164928.41479768194
1521,2745.0,1.0,3,164947.7159820394
1522,3452.0,3.0,3,165047.59478551443
1523,2432.0,1.0,3,164909.19422902438
1524,2246.0,2.0,2,164889.3753225886
1525,2454.0,1.0,3,164911.70386051733
1526,2240.0,2.0,2,164888.77988223193
1527,2237.0,2.0,2,164888.48323466192
1528,2734.0,2.0,3,164946.2705088045
1529,2834.0,2.0,3,164959.61287280137
1530,4240.0,2.0,2,165149.15149538405
1531,2877.0,2.0,3,164965.4777659606
1532,2058.0,2.0,2,164872.12147609392
1533,3245.0,3.0,3,165017.7086406319
1534,2318.0,1.0,3,164896.7399765129
1535,3126.0,1.0,3,165000.54663461616
1536,2902.0,1.0,3,164968.91882822395
1537,2290.0,1.0,2,164893.82826569676
1538,3312.0,2.0,3,165027.4036893907
1539,3346.0,3.0,3,165032.3212689626
1540,3132.0,2.0,4,165001.40844954786
1541,2832.0,2.0,2,164959.34181955605
1542,2963.0,2.0,3,164977.40260050437
1543,3551.0,2.0,3,165061.70825370436
1544,1906.0,2.0,2,164860.39614353777
1545,2108.0,2.0,2,164876.4211192985
1546,2344.0,3.0,3,164899.49703331137
1547,2711.0,2.0,3,164943.2668321908
1548,2777.0,2.0,3,164951.95350198974
1549,2530.0,1.0,2,164920.62182854183
1550,2954.0,2.0,4,164976.14368152418
1551,2608.0,2.0,2,164930.15205210264
1552,3946.0,2.0,4,165114.8832405571
1553,2852.0,2.0,3,164962.05932920316
1554,2278.0,2.0,3,164892.5989282869
1555,3594.0,2.0,3,165067.77046506302
1556,2341.0,2.0,3,164899.1762317301
1557,2772.0,2.0,3,164951.288327562
1558,1795.0,1.0,3,164853.15041384165
1559,2830.0,2.0,4,164959.0709903232
1560,3186.0,3.0,2,165009.18378862255
1561,3722.0,4.0,4,165085.48773272085
1562,2172.0,2.0,3,164882.23394248437
1563,2234.0,2.0,2,164888.18730383998
1564,3283.0,2.0,3,165023.20701187098
1565,2870.0,2.0,4,164964.51828607652
